sample_id,museum,artifact_id,entity_type,system_status,mention_text,span_judgment,entity_type_judgment,artifact_relation_judgment,resolution_judgment,expected_identity,accepted_target_ids,failure_categories,evidence_note,citation_urls
review-029,met,met-543872,ruler,multi_or_range,reign of Isesi–Unis,supported,supported_multi_entity,supported_range,correct_abstention,Reign range from Djedkare Isesi through Unis,,,The Met value denotes a range across two rulers. Not collapsing it to one node is correct.,https://www.metmuseum.org/art/collection/search/543872|https://pharaoh.se/ancient-egypt/pharaohs/
review-030,met,met-543885,ruler,resolved,Amenemhat I,supported,supported,supported,supported,Amenemhat I,pharaoh_se-Amenemhat-I,,The explicit Met reign and current source node agree.,https://www.metmuseum.org/art/collection/search/543885|https://pharaoh.se/ancient-egypt/pharaoh/amenemhat-i/
review-031,met,met-545798,ruler,resolved,Chephren,supported,supported,supported,supported,Khafra (Chephren),cluster-beckerath-04.04,,Chephren is a documented alias of Khafra and the Met reign refers to that ruler.,https://www.metmuseum.org/art/collection/search/545798|https://pharaoh.se/ancient-egypt/pharaoh/khafra/
review-032,met,met-544009,ruler,temporal_context,late reign of Mentuhotep II or later,supported,supported,uncertain_temporal_bound,correct_abstention,,,,"'Late reign of Mentuhotep II or later' is an open temporal bound, not a unique ruler assertion. Abstention is correct.",https://www.metmuseum.org/art/collection/search/544009
review-033,met,met-544274,ruler,uncertain_identity,Possibly Senwosret I,supported,supported,uncertain,correct_abstention,,,,The value explicitly says 'Possibly Senwosret I'; abstention is correct.,https://www.metmuseum.org/art/collection/search/544274
review-034,met,met-544554,ruler,unmatched,Ahmose,supported,supported,supported,underresolved,Ahmose I in Dynasty 18,cluster-beckerath-18.01,context_disambiguation|missing_short_alias,The bare reign value needs the record's Dynasty-18 context to select Ahmose I. The current adapter intentionally did not add this contextual inference.,https://www.metmuseum.org/art/collection/search/544554|https://pharaoh.se/ancient-egypt/pharaoh/ahmose-i/
review-035,met,met-558590,ruler,unmatched,"Ramesses II, year 21",supported,supported,supported,underresolved,Ramesses II,,qualifier_parser|incomplete_reconciliation,A deterministic typed parser could separate the year-21 qualifier from Ramesses II. Current authority then still has two unreconciled source units.,https://www.metmuseum.org/art/collection/search/558590|https://pharaoh.se/ancient-egypt/pharaoh/ramesses-ii/
review-036,met,met-543947,ruler,unparsed_structured_value,Joint reign of Hatshepsut and Thutmose III,supported,supported_multi_entity,supported_joint_reign,correct_abstention,Hatshepsut and Thutmose III as two entities,,multi_entity_parser,"The adapter safely declined to collapse a joint reign to one node, but classified the structured value as unparsed rather than emitting two typed mentions.",https://www.metmuseum.org/art/collection/search/543947|https://www.metmuseum.org/art/collection/search/559833
review-037,met,met-545209,site,ambiguous,Fayum,supported,supported,supported,correct_abstention,,,place_granularity_homonym,"The explicit region value is Fayum while the current target set contains a city and an oasis with the same alias. Field hierarchy suggests a future typed disambiguator, but this SILVER review abstains.",https://www.metmuseum.org/art/collection/search/545209|https://gazetteer.dainst.org/doc/2042846.html|https://gazetteer.dainst.org/doc/2751193.html
review-038,met,met-547202,site,ambiguous,Ombos),minor_boundary_error,supported,supported,underresolved,Ombos/Nubt at Naqada,idai:2751407,context_disambiguation|boundary_punctuation,"The full field 'Naqada (Nubt, Ombos)' selects iDAI's Ombos/Nubt record rather than Kom Ombo. The isolated span retained a closing parenthesis and discarded disambiguating context.",https://www.metmuseum.org/art/collection/search/547202|https://gazetteer.dainst.org/doc/2751407.html|https://gazetteer.dainst.org/doc/2101017.html
review-039,met,met-329790,site,resolved,Upper Egypt,supported,supported_broad_region,supported,supported,Upper Egypt,idai:2379505,,Upper Egypt is an exact alias of iDAI Aegyptus Superior. This is valid but broad connectivity evidence.,https://www.metmuseum.org/art/collection/search/329790|https://gazetteer.dainst.org/doc/2379505.html
review-040,met,met-544520,site,resolved,Buhen,supported,supported,supported,supported,Buhen,idai:2751172,,The Met subregion and iDAI Buhen archaeological-site target agree.,https://www.metmuseum.org/art/collection/search/544520|https://gazetteer.dainst.org/doc/2751172.html
review-041,met,met-329767,site,unmatched,Egypt,supported,supported_broad_country,supported,correct_abstention,Egypt,,missing_current_target,"Egypt is explicit in the museum field. The live DAI root was not in the committed evaluation target set, so no runtime target was invented.",https://www.metmuseum.org/art/collection/search/329767|https://gazetteer.dainst.org/place/2042786
review-042,met,met-557208,site,unmatched,Pit 219,supported,supported_local_locus,supported,correct_abstention,Local findspot Pit 219,,missing_target_granularity,"Pit 219 is valid local findspot evidence, but the current site authority representation has no artifact-local locus node at this granularity.",https://www.metmuseum.org/art/collection/search/557208
review-043,met,met-544125,tomb_monument,resolved,TT 280,supported,supported,supported,supported,"Theban Tomb 280, tomb of Meketre",pm_theban:TT280,,The museum page identifies Meketre's tomb as TT 280; whitespace normalization preserves the same PM code.,https://www.metmuseum.org/art/collection/search/544125|https://www.griffith.ox.ac.uk/topbib/pdf/pm1-1.pdf
review-044,met,met-548357,tomb_monument,resolved,QV 55,supported,supported,supported,supported,"Valley of the Queens tomb 55, Amenherkhepeshef",pm_theban:QV55,,The museum page explicitly identifies the Tomb of Amenherkhepeshef as QV 55; whitespace normalization preserves the PM code.,https://www.metmuseum.org/art/collection/search/548357|https://www.griffith.ox.ac.uk/topbib/pdf/pm1-2.pdf
review-045,met,met-546750,tomb_monument,unmatched,Tomb MMA 60,supported,supported,supported,correct_abstention,Local Met excavation tomb MMA 60,,missing_current_target|tomb_register_scope,"The museum's local tomb identifier is valid, but it is not a TT/QV/KV-style row in the current committed PM representation.",https://www.metmuseum.org/art/collection/search/546750
review-046,met,met-547122,tomb_monument,unmatched,Tomb R99S,supported,supported,supported,correct_abstention,Local cemetery tomb R99S,,missing_current_target|tomb_register_scope,"The museum's local tomb identifier is valid, but the current PM representation does not contain this cemetery-local code.",https://www.metmuseum.org/art/collection/search/547122
